frame	text	confidence	time
0	None	None	0
1	None	None	40
2	None	None	80
3	None	None	120
4	None	None	160
5	None	None	200
6	None	None	240
7	None	None	280
8	None	None	320
9	None	None	360
10	None	None	400
11	None	None	440
12	None	None	480
13	None	None	520
14	None	None	560
15	None	None	600
16	None	None	640
17	None	None	680
18	None	None	720
19	None	None	760
20	None	None	800
21	None	None	840
22	None	None	880
23	None	None	920
24	None	None	960
25	None	None	1000
26	None	None	1040
27	None	None	1080
28	None	None	1120
29	None	None	1160
30	None	None	1200
31	None	None	1240
32	None	None	1280
33	None	None	1320
34	None	None	1360
35	None	None	1400
36	None	None	1440
37	None	None	1480
38	None	None	1520
39	None	None	1560
40	None	None	1600
41	None	None	1640
42	三天 就三天	0.30000001192092896	1680
43	三天 就三天	0.5	1720
44	天 就三天	0.5	1760
45	三头 就三天	0.30000001192092896	1800
46	三天 就三天	0.5	1840
47	三天 就三天	0.5	1880
48	三天 就三天	0.5	1920
49	三天 就三天	0.30000001192092896	1960
50	三天 就三天	0.5	2000
51	三天 就三天	0.5	2040
52	三天 就三天	0.5	2080
53	三天 就三天	0.5	2120
54	三天 就三天	0.5	2160
55	三天 就三天	0.30000001192092896	2200
56	三天 就三天	0.5	2240
57	三天 就三天	0.5	2280
58	三天 就三天	0.5	2320
59	三天 就三天	0.5	2360
60	三天 就三天	0.5	2400
61	三天 就三天	0.5	2440
62	三天 就三天	0.5	2480
63	三天 就三天	0.5	2520
64	None	None	2560
65	None	None	2600
66	None	None	2640
67	None	None	2680
68	None	None	2720
69	None	None	2760
70	None	None	2800
71	None	None	2840
72	None	None	2880
73	None	None	2920
74	多一个时辰我把自个剁了	0.5	2960
75	多一个时辰我把自个剁了	1.0	3000
76	多一个时辰我把自个剁了	1.0	3040
77	多一个时辰我把自个剁了	1.0	3080
78	多一个时辰我把自个剁了	0.5	3120
79	多一个时辰我把自个剁了	0.5	3160
80	多一个时辰我把自个剁了	1.0	3200
81	多一个时辰我把自个剁了	1.0	3240
82	多一个时辰我把自个剁了	1.0	3280
83	多一个时辰我把自个剁了	1.0	3320
84	多一个时辰我把自个剁了	1.0	3360
85	多一个时辰我把自个剁了	1.0	3400
86	多一个时辰我把自个剁了	0.5	3440
87	多一个时辰我把自个剁了	0.5	3480
88	多一个时辰我把自个剁了	0.5	3520
89	多一个时辰我担自个剁了	0.5	3560
90	多一个时辰我把自个剁了	0.5	3600
91	多一个时辰我把自个剁了	1.0	3640
92	多一个时辰我把自个剁了	1.0	3680
93	喂猪行不行	1.0	3720
94	喂猪行不行	0.5	3760
95	喂猪行不行	1.0	3800
96	喂猪行不行	1.0	3840
97	喂猪行不行	1.0	3880
98	喂猪行不行	1.0	3920
99	喂猪行不行	1.0	3960
100	喂猪行不行	1.0	4000
101	喂猪行不行	1.0	4040
102	喂猪行不行	1.0	4080
103	喂猪行不行	1.0	4120
104	喂猪行不行	1.0	4160
105	喂猪行不行	1.0	4200
106	喂猪行不行	1.0	4240
107	喂猪行不行	1.0	4280
108	喂猪行不行	1.0	4320
109	喂猪行不行	1.0	4360
110	喂猪行不行	1.0	4400
111	喂猪行不行	1.0	4440
112	喂猪行不行	1.0	4480
113	喂猪行不行	1.0	4520
114	喂猪行不行	1.0	4560
115	喂猪行不行	1.0	4600
116	喂猪行不行	1.0	4640
117	喂猪行不行	1.0	4680
118	喂猪行不行	1.0	4720
119	喂猪行不行	1.0	4760
120	喂猪行不行	1.0	4800
121	喂猪行不行	1.0	4840
122	喂猪行不行	1.0	4880
123	None	None	4920
124	None	None	4960
125	None	None	5000
126	None	None	5040
127	None	None	5080
128	None	None	5120
129	None	None	5160
130	None	None	5200
131	None	None	5240
132	None	None	5280
133	None	None	5320
134	None	None	5360
135	None	None	5400
136	None	None	5440
137	None	None	5480
138	None	None	5520
139	None	None	5560
140	None	None	5600
141	None	None	5640
142	None	None	5680
143	None	None	5720
144	None	None	5760
145	None	None	5800
146	None	None	5840
147	None	None	5880
148	None	None	5920
149	None	None	5960
150	啊 求求你了。	0.30000001192092896	6000
151	啊 求求你了	0.30000001192092896	6040
152	啊 求求你了	0.30000001192092896	6080
153	啊 求求你了	0.5	6120
154	啊 求求你了	0.5	6160
155	啊 求求你了	0.5	6200
156	啊 求求你了	0.5	6240
157	啊 求求你了	0.5	6280
158	啊 求求你了	0.5	6320
159	啊 求求你了	0.5	6360
160	啊 求求你了	0.5	6400
161	啊 求求你了	0.5	6440
162	啊 求求你了	0.5	6480
163	啊 求求你了	0.5	6520
164	啊 求求你了	0.5	6560
165	啊 求求你了	0.5	6600
166	啊 求求你了	0.5	6640
167	啊 求求你了	0.5	6680
168	None	None	6720
169	None	None	6760
170	None	None	6800
171	None	None	6840
172	None	None	6880
173	None	None	6920
174	真的 你放过我吧我真帮不了你	0.5	6960
175	真的 你放过我吧我真帮不了你	0.5	7000
176	真的 你放过我吧我真帮不了你	0.5	7040
177	真的 你放过我吧我真帮不了你	0.5	7080
178	真的 你放过我吧我真帮不了你	0.5	7120
179	真的 你放过我吧我真帮不了你	0.5	7160
180	真的 你放过我吧我真帮不了你	0.5	7200
181	真的 你放过我吧我真帮不了你	0.5	7240
182	真的 你放过我吧我真帮不了你	0.5	7280
183	真的 你放过我吧我真帮不了你	0.5	7320
184	真的 你放过我吧我真帮不了你	0.5	7360
185	真的 你放过我吧我真帮不了你	0.5	7400
186	真的 你放过我吧我真帮不了你	0.5	7440
