frame	text	confidence	time
0	None	None	0
5	None	None	200
10	None	None	400
15	None	None	600
20	None	None	800
25	None	None	1000
30	None	None	1200
35	None	None	1400
40	None	None	1600
45	None	None	1800
50	None	None	2000
55	None	None	2200
60	None	None	2400
65	None	None	2600
70	None	None	2800
75	None	None	3000
80	None	None	3200
85	None	None	3400
90	None	None	3600
95	None	None	3800
100	None	None	4000
105	None	None	4200
110	None	None	4400
115	None	None	4600
120	None	None	4800
125	None	None	5000
130	None	None	5200
135	None	None	5400
140	None	None	5600
145	None	None	5800
150	None	None	6000
155	None	None	6200
160	None	None	6400
165	None	None	6600
170	None	None	6800
175	None	None	7000
180	None	None	7200
185	None	None	7400
190	None	None	7600
195	None	None	7800
200	None	None	8000
205	None	None	8200
210	None	None	8400
215	None	None	8600
220	None	None	8800
225	None	None	9000
230	None	None	9200
235	None	None	9400
240	None	None	9600
245	None	None	9800
250	None	None	10000
255	None	None	10200
260	None	None	10400
265	None	None	10600
270	None	None	10800
275	None	None	11000
280	我再问你	1.0	11200
285	我再问你	1.0	11400
290	None	None	11600
295	None	None	11800
300	None	None	12000
305	你跟杨蕙兰 到底嘛关系	0.5	12200
310	你跟杨蕙兰 到底嘛关系	1.0	12400
315	你跟杨蕙兰 到底嘛关系	1.0	12600
320	你跟杨蕙兰 到底嘛关系	0.5	12800
325	你跟杨蕙兰 到底嘛关系	0.5	13000
330	你跟杨蕙兰 到底嘛关系	1.0	13200
335	你跟杨蕙兰 到底嘛关系	0.5	13400
340	你跟杨蕙兰 到底嘛关系	0.5	13600
345	你跟杨蕙兰 到底嘛关系	0.5	13800
350	你跟杨蕙兰 到底嘛关系	0.5	14000
355	你跟杨蕙兰到底嘛关系	0.5	14200
360	None	None	14400
365	None	None	14600
370	夫妻关系呀	0.5	14800
375	夫妻关系呀	0.5	15000
380	夫妻关系呀	0.5	15200
385	夫妻关系呀	0.5	15400
390	None	None	15600
395	None	None	15800
400	None	None	16000
405	None	None	16200
410	None	None	16400
415	None	None	16600
420	None	None	16800
425	None	None	17000
430	None	None	17200
435	我和蕙兰虽然没有举行过婚礼	1.0	17400
440	我和蕙兰虽然没有举行过婚礼	1.0	17600
445	我和蕙兰虽然没有举行过婚礼	1.0	17800
450	我和蕙兰虽然没有举行过婚礼	1.0	18000
455	我和蕙兰虽然没有举行过婚礼	1.0	18200
460	我和蕙兰虽然没有举行过婚礼	1.0	18400
465	我和蕙兰虽然没有举行过婚礼	1.0	18600
470	我和蕙兰虽然没有举行过婚礼	1.0	18800
475	我和蕙兰虽然没有举行过婚礼	1.0	19000
480	我和蕙兰虽然没有举行过婚礼	1.0	19200
485	我和蕙兰虽然没有举行过婚礼	1.0	19400
490	我和蕙兰虽然没有举行过婚礼	1.0	19600
495	None	None	19800
500	None	None	20000
505	None	None	20200
510	None	None	20400
515	可是我们俩个喝过交杯酒	1.0	20600
520	可是我们俩个喝过交杯酒	1.0	20800
525	可是我们俩个喝过交杯酒	1.0	21000
530	可是我们俩个喝过交杯酒	1.0	21200
535	可是我们俩个喝过交杯酒	1.0	21400
540	可是我们俩个喝过交杯酒	1.0	21600
545	可是我们俩个喝过交杯酒	1.0	21800
550	可是我们俩个喝过交杯酒	1.0	22000
555	None	None	22200
560	交换过定情信物	1.0	22400
565	交换过定情信物	1.0	22600
570	交换过定情信物	1.0	22800
575	交换过定情信物	1.0	23000
580	交换过定情信物	1.0	23200
585	交换过定情信物	1.0	23400
590	交换过定情信物	1.0	23600
595	交换过定情信物	1.0	23800
600	None	None	24000
605	None	None	24200
610	None	None	24400
615	乡亲们都说我和蕙兰有夫妻相啊	1.0	24600
620	乡亲们都说我和蕙兰有夫妻相啊	1.0	24800
625	乡亲们都说我和蕙兰有夫妻相啊	1.0	25000
630	乡亲们都说我和蕙兰有夫妻相啊	1.0	25200
635	乡亲们都说我和蕙兰有夫妻相啊	1.0	25400
640	乡亲们都说我和蕙兰有夫妻相啊	1.0	25600
645	乡亲们都说我和蕙兰有夫妻相啊	1.0	25800
650	乡亲们都说我和蕙兰有夫妻相啊	1.0	26000
655	乡亲们都说我和蕙兰有夫妻相啊	1.0	26200
660	乡亲们都说我和蕙兰有夫妻相啊	1.0	26400
665	乡亲们都说我和蕙兰有夫妻相啊	1.0	26600
670	乡亲们都说我和蕙兰有夫妻相啊	1.0	26800
675	乡亲们都说我和蕙兰有夫妻相啊	1.0	27000
680	None	None	27200
685	你信不信我一脚	1.0	27400
690	你信不信我一脚	1.0	27600
695	你信不信我一脚	1.0	27800
700	你信不信我一脚	1.0	28000
705	你信不信我一脚	1.0	28200
710	你信不信我一脚	1.0	28400
715	None	None	28600
720	None	None	28800
725	李大嘴你什么意思	1.0	29000
730	李大嘴你什么意思	1.0	29200
735	李大嘴你什么意思	1.0	29400
740	李大嘴你什么意思	1.0	29600
745	None	None	29800
750	None	None	30000
755	None	None	30200
760	None	None	30400
765	人家没招你没惹你你干啥呀这是	1.0	30600
770	人家没招你没惹你你干啥呀这是	1.0	30800
775	人家没招你没惹你你干啥呀这是	1.0	31000
780	人家没招你没惹你你干啥呀这是	1.0	31200
785	人家没招你没惹你你干啥呀这是	1.0	31400
790	人家没招你没惹你你干啥呀这是	1.0	31600
795	人家没招你没惹你你干啥呀这是	1.0	31800
800	人家没招你没惹你你干啥呀这是	1.0	32000
805	人家没招你没惹你你干啥呀这是	1.0	32200
810	人家没招你没惹你你干啥呀这是	1.0	32400
815	None	None	32600
820	None	None	32800
825	姓白的 你向着他向着我你给我个准话	0.5	33000
830	姓白的 你向着他向着我你给我个准话	0.5	33200
835	姓白的 你向着他向着我你给我个准话	0.5	33400
840	姓白的 你向着他向着我你给我个准话	0.5	33600
845	姓白的 你向着他向着我你给我个准话	0.5	33800
850	姓白的 你向着他向着我你给我个准话	0.5	34000
855	姓白的 你向着他向着我你给我个准话	0.5	34200
860	姓白的 你向着他向着我你给我个准话	0.5	34400
865	姓白的 你向着他向着我你给我个准话	0.5	34600
870	姓白的 你向着他向着我你给我个准话	0.5	34800
875	姓白的 你向着他向着我你给我个准话	0.5	35000
880	姓白的 你向着他向着我你给我个准话	0.5	35200
885	姓白的 你向着他向着我你给我个准话	0.5	35400
890	None	None	35600
895	None	None	35800
900	None	None	36000
905	这位先生是不是姓李啊	1.0	36200
910	这位先生是不是姓李啊	1.0	36400
915	这位先生是不是姓李啊	1.0	36600
920	这位先生是不是姓李啊	1.0	36800
925	这位先生是不是姓李啊	1.0	37000
930	这位先生是不是姓李啊	1.0	37200
935	这位先生是不是姓李啊	0.5	37400
940	这位先生是不是姓李啊	1.0	37600
945	这位先生是不是姓李啊	1.0	37800
950	这位先生是不是姓李啊	1.0	38000
955	这位先生是不是姓李啊	1.0	38200
960	这位先生是不是姓李啊	1.0	38400
965	这位先生是不是姓李啊	1.0	38600
970	这位先生是不是姓李啊	1.0	38800
975	None	None	39000
980	None	None	39200
985	None	None	39400
