frame	text	confidence	time
0	None	None	0
5	None	None	200
10	None	None	400
15	None	None	600
20	None	None	800
25	None	None	1000
30	None	None	1200
35	None	None	1400
40	None	None	1600
45	None	None	1800
50	None	None	2000
55	None	None	2200
60	None	None	2400
65	None	None	2600
70	None	None	2800
75	None	None	3000
80	None	None	3200
85	None	None	3400
90	None	None	3600
95	None	None	3800
100	None	None	4000
105	None	None	4200
110	None	None	4400
115	None	None	4600
120	None	None	4800
125	None	None	5000
130	None	None	5200
135	None	None	5400
140	None	None	5600
145	None	None	5800
150	None	None	6000
155	None	None	6200
160	None	None	6400
165	None	None	6600
170	None	None	6800
175	None	None	7000
180	None	None	7200
185	None	None	7400
190	None	None	7600
195	None	None	7800
200	None	None	8000
205	None	None	8200
210	None	None	8400
215	None	None	8600
220	None	None	8800
225	None	None	9000
230	None	None	9200
235	None	None	9400
240	None	None	9600
245	None	None	9800
250	None	None	10000
255	None	None	10200
260	None	None	10400
265	None	None	10600
270	None	None	10800
275	None	None	11000
280	None	None	11200
285	None	None	11400
290	None	None	11600
295	None	None	11800
300	None	None	12000
305	None	None	12200
310	None	None	12400
315	None	None	12600
320	None	None	12800
325	None	None	13000
330	None	None	13200
335	None	None	13400
340	None	None	13600
345	也不知道无双怎么样了	1.0	13800
350	也不知道无双怎么样了	1.0	14000
355	也不知道无双怎么样了	1.0	14200
360	也不知道无双怎么样了	1.0	14400
365	也不知道无双怎么样了	1.0	14600
370	也不知道无双怎么样了	1.0	14800
375	也不知道无双怎么样了	1.0	15000
380	也不知道无双怎么样了	1.0	15200
385	也不知道无双怎么样了	1.0	15400
390	也不知道无双怎么样了	1.0	15600
395	也不知道无双怎么样了	1.0	15800
400	None	None	16000
405	None	None	16200
410	None	None	16400
415	找到意中人了没有	1.0	16600
420	找到意中人了没有	1.0	16800
425	找到意中人了没有	0.5	17000
430	找到意中人了没有	1.0	17200
435	找到意中人了没有	1.0	17400
440	找到意中人了没有	1.0	17600
445	找到意中人了没有	1.0	17800
450	None	None	18000
455	None	None	18200
460	None	None	18400
465	None	None	18600
470	人家刚走三天	1.0	18800
475	人家刚走三天	1.0	19000
480	人家刚走三天	1.0	19200
485	人家刚走三天	1.0	19400
490	人家刚走三天	1.0	19600
495	人家刚走三天	1.0	19800
500	None	None	20000
505	足够了 真正的缘分呀	0.5	20200
510	足够了 真正的缘分呀	0.5	20400
515	足够了 真正的缘分呀	0.5	20600
520	足够了 真正的缘分呀	0.5	20800
525	足够了 真正的缘分呀	0.5	21000
530	足够了 真正的缘分呀	0.5	21200
535	足够了 真正的缘分呀	0.5	21400
540	足够了 真正的缘分呀	0.5	21600
545	足够了 真正的缘分呀	0.5	21800
550	足够了 真正的缘分呀	0.5	22000
555	足够了 真正的缘分呀	0.5	22200
560	足够了 真正的缘分呀	0.5	22400
565	足够了 真正的缘分呀	0.5	22600
570	足够了 真正的缘分呀	0.5	22800
575	足够了 真正的缘分呀	0.5	23000
580	None	None	23200
585	就是在弹指一挥间	0.5	23400
590	就是在弹指一挥间	0.5	23600
595	就是在弹指一挥间	0.5	23800
600	就是在弹指一挥间	0.5	24000
605	就是在弹指一挥间	0.5	24200
610	就是在弹指一挥间	1.0	24400
615	就是在弹指一挥间	1.0	24600
620	就是在弹指一挥间	0.5	24800
625	就是在弹指一挥间	0.5	25000
630	None	None	25200
635	None	None	25400
640	None	None	25600
645	None	None	25800
650	None	None	26000
655	None	None	26200
660	None	None	26400
665	None	None	26600
670	没准哪天一抬头	0.5	26800
675	没准哪天一抬头	0.5	27000
680	没准哪天一抬头	0.5	27200
685	没准哪天一抬头	0.5	27400
690	没准哪天一抬头	0.5	27600
695	没准哪天一抬头	0.5	27800
700	没准哪天一抬头	0.5	28000
705	None	None	28200
710	None	None	28400
715	None	None	28600
720	None	None	28800
725	None	None	29000
730	我的真命天子呀	1.0	29200
735	我的真命天子呀	1.0	29400
740	我的真命天子呀	1.0	29600
745	我的真命天子呀	1.0	29800
750	我的真命天子呀	1.0	30000
755	我的真命天子呀	1.0	30200
760	None	None	30400
765	None	None	30600
770	就在外头等着我呢	1.0	30800
775	就在外头等着我呢	1.0	31000
780	就在外头等着我呢	1.0	31200
785	就在外头等着我呢	1.0	31400
790	就在外头等着我呢	1.0	31600
795	就在外头等着我呢	1.0	31800
800	就在外头等着我呢	1.0	32000
805	None	None	32200
810	None	None	32400
815	None	None	32600
820	None	None	32800
825	None	None	33000
830	None	None	33200
835	None	None	33400
840	None	None	33600
845	None	None	33800
850	None	None	34000
855	None	None	34200
860	None	None	34400
865	None	None	34600
870	None	None	34800
875	None	None	35000
880	None	None	35200
885	None	None	35400
890	None	None	35600
895	None	None	35800
900	None	None	36000
905	None	None	36200
910	None	None	36400
915	None	None	36600
920	None	None	36800
925	None	None	37000
930	None	None	37200
935	None	None	37400
940	这说曹操就曹操到了	1.0	37600
945	这说曹操就曹操到了	1.0	37800
950	这说曹操就曹操到了	1.0	38000
955	这说曹操就曹操到了	1.0	38200
960	这说曹操就曹操到了	1.0	38400
965	这说曹操就曹操到了	1.0	38600
970	这说曹操就曹操到了	0.5	38800
975	None	None	39000
980	来来进来进来	1.0	39200
985	来来进来进来	1.0	39400
990	来来进来进来	1.0	39600
995	来来进来进来	1.0	39800
1000	来来进来进来	1.0	40000
1005	来来进来进来	1.0	40200
1010	None	None	40400
1015	None	None	40600
1020	None	None	40800
1025	None	None	41000
1030	None	None	41200
1035	None	None	41400
1040	None	None	41600
1045	None	None	41800
1050	None	None	42000
1055	上碗茶	0.5	42200
1060	上碗茶	1.0	42400
1065	上碗茶	1.0	42600
1070	上碗茶	1.0	42800
1075	上碗茶	1.0	43000
1080	None	None	43200
1085	None	None	43400
1090	好	1.0	43600
1095	好	0.5	43800
1100	好	0.5	44000
1105	好	0.5	44200
1110	None	None	44400
1115	就是到的早了几年	0.5	44600
1120	就是到的早了几年	1.0	44800
1125	就是到的早了几年	1.0	45000
1130	就是到的早了几年	1.0	45200
1135	就是到的早了几年	1.0	45400
1140	就是到的早了几年	1.0	45600
1145	None	None	45800
1150	None	None	46000
1155	None	None	46200
1160	你是来找小贝的吧	1.0	46400
1165	你是来找小贝的吧，	0.5	46600
1170	你是来找小贝的吧	1.0	46800
1175	你是来找小贝的吧	1.0	47000
1180	你是来找小贝的吧	1.0	47200
1185	你是来找小贝的吧	1.0	47400
1190	你是来找小贝的吧	0.5	47600
1195	None	None	47800
1200	对呀 她人呢	0.30000001192092896	48000
1205	对呀 她人呢	0.5	48200
1210	对呀 她人呢	0.5	48400
1215	对呀 她人呢	0.5	48600
1220	对呀 她人呢	0.5	48800
1225	None	None	49000
1230	她还没有起床呢	1.0	49200
1235	她还没有起床呢	1.0	49400
1240	她还没有起床呢	1.0	49600
1245	她还没有起床呢	1.0	49800
1250	她还没有起床呢	1.0	50000
1255	None	None	50200
1260	我这就给你叫她去 啊	0.30000001192092896	50400
