frame	text	confidence	time
0	None	None	0
5	None	None	200
10	None	None	400
15	None	None	600
20	None	None	800
25	None	None	1000
30	None	None	1200
35	None	None	1400
40	None	None	1600
45	None	None	1800
50	None	None	2000
55	None	None	2200
60	None	None	2400
65	None	None	2600
70	None	None	2800
75	None	None	3000
80	None	None	3200
85	None	None	3400
90	None	None	3600
95	None	None	3800
100	None	None	4000
105	None	None	4200
110	None	None	4400
115	None	None	4600
120	None	None	4800
125	None	None	5000
130	None	None	5200
135	None	None	5400
140	None	None	5600
145	None	None	5800
150	None	None	6000
155	None	None	6200
160	None	None	6400
165	None	None	6600
170	None	None	6800
175	None	None	7000
180	None	None	7200
185	None	None	7400
190	None	None	7600
195	None	None	7800
200	None	None	8000
205	None	None	8200
210	None	None	8400
215	None	None	8600
220	None	None	8800
225	None	None	9000
230	None	None	9200
235	None	None	9400
240	None	None	9600
245	None	None	9800
250	None	None	10000
255	None	None	10200
260	None	None	10400
265	None	None	10600
270	None	None	10800
275	None	None	11000
280	None	None	11200
285	None	None	11400
290	None	None	11600
295	None	None	11800
300	None	None	12000
305	None	None	12200
310	None	None	12400
315	None	None	12600
320	None	None	12800
325	None	None	13000
330	None	None	13200
335	又是打鼾 又是打鸣	0.5	13400
340	又是打鼾 又是打鸣	0.5	13600
345	又是打鼾 又是打鸣	0.5	13800
350	又是打鼾 又是打呜	0.5	14000
355	又是打鼾 又是打鸣	0.5	14200
360	又是打鼾 又是打鸣	0.5	14400
365	又是打鼾 又是打鸣	0.5	14600
370	又是打鼾 又是打鸣	0.5	14800
375	又是打鼾 又是打鸣	0.5	15000
380	None	None	15200
385	None	None	15400
390	None	None	15600
395	还让不让人睡了	1.0	15800
400	还让不让人睡了	1.0	16000
405	还让不让人睡了	1.0	16200
410	还让不让人睡了	1.0	16400
415	还让不让人睡了	1.0	16600
420	还让不让人睡了	1.0	16800
425	None	None	17000
430	None	None	17200
435	None	None	17400
440	None	None	17600
445	None	None	17800
450	None	None	18000
455	None	None	18200
460	None	None	18400
465	None	None	18600
470	None	None	18800
475	None	None	19000
480	None	None	19200
485	None	None	19400
490	None	None	19600
495	None	None	19800
500	None	None	20000
505	None	None	20200
510	None	None	20400
515	None	None	20600
520	None	None	20800
525	None	None	21000
530	None	None	21200
535	None	None	21400
540	None	None	21600
545	None	None	21800
550	None	None	22000
555	None	None	22200
560	None	None	22400
565	None	None	22600
570	None	None	22800
575	None	None	23000
580	None	None	23200
585	None	None	23400
590	None	None	23600
595	None	None	23800
600	None	None	24000
605	None	None	24200
610	None	None	24400
615	None	None	24600
620	None	None	24800
625	None	None	25000
630	None	None	25200
635	None	None	25400
640	None	None	25600
645	None	None	25800
650	None	None	26000
655	None	None	26200
660	None	None	26400
665	None	None	26600
670	None	None	26800
675	别叫了啊	1.0	27000
680	别叫了啊	1.0	27200
685	别叫了啊	1.0	27400
690	None	None	27600
695	None	None	27800
700	None	None	28000
705	告诉你	1.0	28200
710	告诉你	1.0	28400
715	None	None	28600
720	None	None	28800
725	None	None	29000
730	None	None	29200
735	None	None	29400
740	再叫我活吃了你	1.0	29600
745	再叫我活吃了你	1.0	29800
750	再叫我活吃了你	1.0	30000
755	再叫我活吃了你	1.0	30200
760	再叫我活吃了你	1.0	30400
765	再叫我活吃了你	1.0	30600
770	None	None	30800
775	None	None	31000
780	None	None	31200
785	None	None	31400
790	None	None	31600
795	None	None	31800
800	None	None	32000
805	None	None	32200
810	None	None	32400
815	None	None	32600
820	None	None	32800
825	None	None	33000
830	None	None	33200
835	None	None	33400
840	None	None	33600
845	None	None	33800
850	哎 这就对了 听话啊	0.5	34000
855	哎 这就对了 听话啊	0.5	34200
860	哎 这就对了 听话啊	0.5	34400
865	哎 这就对了 听话啊	0.5	34600
870	哎 这就对了 听话啊	0.5	34800
875	哎 这就对了 听话啊	0.5	35000
880	哎 这就对了 听话啊	0.5	35200
885	哎 这就对了 听话啊	0.5	35400
890	哎 这就对了 听话啊	0.5	35600
895	None	None	35800
900	None	None	36000
905	None	None	36200
910	None	None	36400
915	None	None	36600
920	None	None	36800
925	None	None	37000
930	None	None	37200
935	None	None	37400
940	None	None	37600
945	None	None	37800
950	None	None	38000
955	None	None	38200
960	None	None	38400
965	None	None	38600
970	None	None	38800
975	None	None	39000
980	None	None	39200
985	None	None	39400
990	None	None	39600
995	None	None	39800
1000	None	None	40000
1005	None	None	40200
1010	None	None	40400
1015	None	None	40600
1020	None	None	40800
1025	None	None	41000
1030	小红 我告诉你啊	0.5	41200
1035	小红 我告诉你啊	0.5	41400
1040	小红 我告诉你啊	0.5	41600
1045	小红 我告诉你啊	0.5	41800
1050	小红 我告诉你啊	0.5	42000
1055	None	None	42200
1060	None	None	42400
1065	None	None	42600
1070	None	None	42800
1075	None	None	43000
1080	None	None	43200
1085	我最后一次警告你啊	1.0	43400
1090	我最后一次警告你啊	1.0	43600
1095	我最后一次警告你啊	1.0	43800
1100	我最后一次警告你啊	1.0	44000
1105	我最后一次警告你啊	1.0	44200
1110	None	None	44400
1115	None	None	44600
1120	None	None	44800
1125	我告诉你	1.0	45000
1130	我告诉你	1.0	45200
1135	我告诉你	1.0	45400
1140	None	None	45600
1145	None	None	45800
1150	再叫我就斩立决	1.0	46000
1155	再叫我就斩立决	0.5	46200
1160	再叫我就斩立决	0.5	46400
1165	再叫我就斩立决	1.0	46600
1170	再叫我就斩立决	0.5	46800
1175	None	None	47000
1180	None	None	47200
1185	None	None	47400
1190	None	None	47600
1195	None	None	47800
1200	None	None	48000
1205	None	None	48200
1210	再叫 再叫	0.5	48400
1215	再叫 再叫	0.5	48600
1220	再叫 再叫	0.5	48800
1225	再叫 再叫	0.5	49000
1230	再叫 再叫	0.5	49200
1235	None	None	49400
1240	None	None	49600
1245	None	None	49800
1250	None	None	50000
1255	None	None	50200
1260	None	None	50400
1265	None	None	50600
1270	None	None	50800
1275	None	None	51000
1280	None	None	51200
1285	None	None	51400
1290	None	None	51600
1295	哎 这就对了	0.5	51800
1300	哎 这就对了	0.5	52000
1305	哎 这就对了	0.5	52200
1310	哎 这就对了	0.5	52400
1315	哎 这就对了	0.5	52600
1320	哎 这就对了	0.5	52800
1325	None	None	53000
1330	None	None	53200
1335	None	None	53400
1340	None	None	53600
1345	None	None	53800
1350	None	None	54000
1355	None	None	54200
1360	None	None	54400
1365	守着夜呢跟着捣什么乱呢	1.0	54600
1370	守着夜呢跟着捣什么乱呢	1.0	54800
1375	守着夜呢跟着捣什么乱呢	1.0	55000
1380	守着夜呢跟着捣什么乱呢	1.0	55200
1385	守着夜呢跟着捣什么乱呢	1.0	55400
1390	守着夜呢跟着捣什么乱呢	1.0	55600
1395	守着夜呢跟着捣什么乱呢	1.0	55800
1400	守着夜呢跟着捣什么乱呢	1.0	56000
1405	守着夜呢跟着捣什么乱呢	1.0	56200
1410	None	None	56400
1415	None	None	56600
1420	None	None	56800
1425	None	None	57000
