frame	text	confidence	time
0	None	None	0
5	None	None	200
10	None	None	400
15	None	None	600
20	None	None	800
25	None	None	1000
30	None	None	1200
35	None	None	1400
40	None	None	1600
45	None	None	1800
50	None	None	2000
55	None	None	2200
60	None	None	2400
65	None	None	2600
70	None	None	2800
75	None	None	3000
80	None	None	3200
85	None	None	3400
90	None	None	3600
95	None	None	3800
100	None	None	4000
105	None	None	4200
110	None	None	4400
115	None	None	4600
120	None	None	4800
125	None	None	5000
130	None	None	5200
135	None	None	5400
140	None	None	5600
145	None	None	5800
150	None	None	6000
155	None	None	6200
160	None	None	6400
165	None	None	6600
170	None	None	6800
175	None	None	7000
180	None	None	7200
185	None	None	7400
190	None	None	7600
195	None	None	7800
200	None	None	8000
205	None	None	8200
210	None	None	8400
215	None	None	8600
220	None	None	8800
225	None	None	9000
230	None	None	9200
235	None	None	9400
240	None	None	9600
245	None	None	9800
250	None	None	10000
255	None	None	10200
260	我刚才跟你说的你都记住没	1.0	10400
265	我刚才跟你说的你都记住没	1.0	10600
270	我刚才跟你说的你都记住没	1.0	10800
275	我刚才跟你说的你都记住没	1.0	11000
280	我刚才跟你说的你都记住没	1.0	11200
285	我刚才跟你说的你都记住没	1.0	11400
290	我刚才跟你说的你都记住没	1.0	11600
295	我刚才跟你说的你都记住没	1.0	11800
300	None	None	12000
305	废话 我又不是傻子	0.5	12200
310	废话 我又不是傻子	0.5	12400
315	废话 我又不是傻子	0.5	12600
320	废话 我又不是傻子	0.5	12800
325	废话 我又不是傻子	0.5	13000
330	废话 我又不是傻子	0.5	13200
335	废话 我又不是傻子	0.5	13400
340	废话 我又不是傻子	0.5	13600
345	废话 我又不是傻子	0.5	13800
350	None	None	14000
355	None	None	14200
360	None	None	14400
365	None	None	14600
370	那行 那咱们再练一遍啊	0.5	14800
375	那行 那咱们再练一遍啊	0.5	15000
380	那行 那咱们再练一遍啊	0.5	15200
385	那行 那咱们再练一遍啊	0.5	15400
390	那行 那咱们再练一遍啊	0.5	15600
395	那行 那咱们再练一遍啊	0.5	15800
400	那行 那咱们再练一遍啊	0.5	16000
405	那行 那咱们再练一遍啊	0.5	16200
410	那行 那咱们再练一遍啊	0.5	16400
415	那行 那咱们再练一遍啊	0.5	16600
420	那行 那咱们再练一遍啊	0.5	16800
425	那行 那咱们再练一遍啊	0.5	17000
430	None	None	17200
435	None	None	17400
440	None	None	17600
445	None	None	17800
450	None	None	18000
455	None	None	18200
460	None	None	18400
465	None	None	18600
470	None	None	18800
475	None	None	19000
480	None	None	19200
485	侯哥 你吃个鸡腿吧	0.5	19400
490	侯哥 你吃个鸡腿吧	0.5	19600
495	侯哥你吃个鸡腿吧	0.5	19800
500	侯哥 你吃个鸡腿吧	0.5	20000
505	侯哥 你吃个鸡腿吧	0.5	20200
510	侯哥 你吃个鸡腿吧	0.5	20400
515	侯哥 你吃个鸡腿吧	0.5	20600
520	侯哥 你吃个鸡腿吧	0.5	20800
525	侯哥 你吃个鸡腿吧	0.5	21000
530	侯哥 你吃个鸡腿吧	0.5	21200
535	侯哥 你吃个鸡腿吧	0.5	21400
540	侯哥 你吃个鸡腿吧	0.5	21600
545	None	None	21800
550	None	None	22000
555	小郭姐姐对秀才好温柔好体贴喔	1.0	22200
560	小郭姐姐对秀才好温柔好体贴喔	1.0	22400
565	小郭姐姐对秀才好温柔好体贴喔	1.0	22600
570	小郭姐姐对秀才好温柔好体贴喔	1.0	22800
575	小郭姐姐对秀才好温柔好体贴喔	1.0	23000
580	小郭姐姐对秀才好温柔好体贴喔	0.5	23200
585	小郭姐姐对秀才好温柔好体贴喔	1.0	23400
590	小郭姐姐对秀才好温柔好体贴喔	1.0	23600
595	小郭姐姐对秀才好温柔好体贴喔	1.0	23800
600	小郭姐姐对秀才好温柔好体贴喔	1.0	24000
605	小郭姐姐对秀才好温柔好体贴喔	1.0	24200
610	小郭姐姐对秀才好温柔好体贴喔	1.0	24400
615	小郭姐姐对秀才好温柔好体贴喔	1.0	24600
620	小郭姐姐对秀才好温柔好体贴喔	1.0	24800
625	小郭姐姐对秀才好温柔好体贴喔	1.0	25000
630	小郭姐姐对秀才好温柔好体贴喔	0.5	25200
635	小郭姐姐对秀才好温柔好体贴喔	1.0	25400
640	小郭姐姐对秀才好温柔好体贴喔	0.5	25600
645	小郭姐姐对秀才好温柔好体贴喔	1.0	25800
650	小郭姐姐对秀才好温柔好体贴喔	1.0	26000
655	小郭姐姐对秀才好温柔好体贴喔	1.0	26200
660	None	None	26400
665	None	None	26600
670	None	None	26800
675	None	None	27000
680	不行啊 你得注意语气	0.5	27200
685	不行啊 你得注意语气	0.5	27400
690	不行啊 你得注意语气	0.5	27600
695	不行啊 你得注意语气	0.5	27800
700	不行啊 你得注意语气	0.5	28000
705	不行啊 你得注意语气	0.5	28200
710	不行啊 你得注意语气	0.5	28400
715	不行啊 你得注意语气	0.5	28600
720	不行啊 你得注意语气	0.5	28800
725	不行啊 你得注意语气	0.5	29000
730	不行啊 你得注意语气	0.5	29200
735	不行啊 你得注意语气	0.5	29400
740	None	None	29600
745	必须是那种发自内心的感慨	1.0	29800
750	必须是那种发自内心的感慨	1.0	30000
755	必须是那种发自内心的感慨	1.0	30200
760	必须是那种发自内心的感慨	1.0	30400
765	必须是那种发自内心的感慨	1.0	30600
770	必须是那种发自内心的感慨	1.0	30800
775	必须是那种发自内心的感慨	1.0	31000
780	必须是那种发自内心的感慨	1.0	31200
785	必须是那种发自内心的感慨	1.0	31400
790	必须是那种发自内心的感慨	1.0	31600
795	必须是那种发自内心的感慨	1.0	31800
800	None	None	32000
805	None	None	32200
810	None	None	32400
815	None	None	32600
820	不就实个菜吗_有什么好感慨的	0.5	32800
825	不就夹个菜吗_有什么好感慨的	0.5	33000
830	不就夹个菜吗_有什么好感慨的	0.5	33200
835	不就实个菜吗_有什么好感慨的	0.5	33400
840	不就实个菜吗_有什么好感慨的	0.5	33600
845	不就实个菜吗_有什么好感慨的	0.5	33800
850	不就夹个菜吗 有什么好感慨的	0.5	34000
855	不就夹个菜吗-有什么好感慨的	0.5	34200
860	不就实个菜吗-有什么好感慨的	0.5	34400
865	不就实个菜吗-有什么好感慨的	0.5	34600
870	None	None	34800
875	我演不了	1.0	35000
880	我演不了	1.0	35200
885	我演不了	1.0	35400
890	我演不了	1.0	35600
895	None	None	35800
900	None	None	36000
905	None	None	36200
910	None	None	36400
915	None	None	36600
920	None	None	36800
925	None	None	37000
930	None	None	37200
935	None	None	37400
940	None	None	37600
945	None	None	37800
950	None	None	38000
955	None	None	38200
960	None	None	38400
965	None	None	38600
970	你想象一下啊	1.0	38800
975	你想象一下啊	1.0	39000
980	你想象一下啊	1.0	39200
985	你想象一下啊	1.0	39400
990	None	None	39600
995	None	None	39800
1000	None	None	40000
1005	None	None	40200
1010	None	None	40400
1015	世界上最大的冰糖葫芦	1.0	40600
1020	世界上最大的冰糖葫芦	1.0	40800
